CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/24/2022,3:00,QUEENS,11432,40.703217,-73.80257,"(40.703217, -73.80257)",153 STREET,90 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592724,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,8:58,BRONX,10468,40.859642,-73.90534,"(40.859642, -73.90534)",GRAND AVENUE,EVELYN PLACE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4592817,Taxi,,,,
12/24/2022,3:26,,,40.72135,-74.00465,"(40.72135, -74.00465)",CANAL STREET,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4592456,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:30,BROOKLYN,11231,40.683067,-73.99557,"(40.683067, -73.99557)",COURT STREET,SACKETT STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592531,Sedan,Sedan,,,
12/24/2022,19:37,,,,,,WILLIAMSBURG BRIDGE,SOUTH 5 PLACE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4592536,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
12/24/2022,11:00,,,40.753082,-73.72459,"(40.753082, -73.72459)",GRAND CENTRAL PKWY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4592565,Sedan,,,,
12/24/2022,20:50,BROOKLYN,11232,40.655186,-73.99985,"(40.655186, -73.99985)",32 STREET,5 AVENUE,,1,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592648,Station Wagon/Sport Utility Vehicle,E-Bike,,,
12/24/2022,5:04,,,40.699406,-73.95338,"(40.699406, -73.95338)",NOSTRAND AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592499,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,6:07,,,40.738987,-73.916695,"(40.738987, -73.916695)",48 AVENUE,49 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592510,Sedan,Sedan,,,
12/24/2022,16:03,BROOKLYN,11214,40.595104,-74.00091,"(40.595104, -74.00091)",,,8973      BAY PARKWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592564,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:30,,,40.592422,-73.99508,"(40.592422, -73.99508)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4592620,Sedan,Sedan,,,
12/24/2022,16:05,BROOKLYN,11236,40.642868,-73.917656,"(40.642868, -73.917656)",,,412       EAST 83 STREET,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Aggressive Driving/Road Rage,Unspecified,,,4592517,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
12/24/2022,7:45,BRONX,10455,40.819096,-73.914566,"(40.819096, -73.914566)",ELTON AVENUE,EAST 154 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4592710,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,12:00,,,40.732937,-73.843636,"(40.732937, -73.843636)",GRAND CENTRAL PKWY,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4592487,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,10:00,STATEN ISLAND,10304,40.61747,-74.07687,"(40.61747, -74.07687)",,,106       TOWNSEND AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4592613,Sedan,,,,
12/24/2022,13:10,,,,,,BROOKLYN BRIDGE,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4592871,Sedan,,,,
12/24/2022,22:50,,,40.754776,-73.77097,"(40.754776, -73.77097)",48 AVENUE,210 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592579,Sedan,,,,
12/24/2022,14:47,BRONX,10475,40.88599,-73.82792,"(40.88599, -73.82792)",BOSTON ROAD,PROVOST AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4592919,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:30,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4592776,Sedan,Sedan,,,
12/24/2022,13:00,QUEENS,11354,40.76465,-73.823494,"(40.76465, -73.823494)",NORTHERN BOULEVARD,PARSONS BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4592764,Sedan,Garbage or Refuse,,,
12/24/2022,22:43,QUEENS,11105,40.771053,-73.913536,"(40.771053, -73.913536)",,,23-81     35 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592738,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,4:05,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,4592476,Taxi,Sedan,,,
12/24/2022,1:34,BROOKLYN,11234,40.625786,-73.92832,"(40.625786, -73.92832)",FLATLANDS AVENUE,AVENUE K,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4592547,Sedan,Sedan,,,
12/24/2022,23:00,QUEENS,11419,40.687668,-73.8117,"(40.687668, -73.8117)",107 AVENUE,133 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4592809,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,21:22,,,,,,BELT PARKWAY,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Following Too Closely,,,,4592815,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,18:18,,,40.723347,-73.939316,"(40.723347, -73.939316)",MEEKER AVENUE,MORGAN AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4592793,Pick-up Truck,,,,
12/24/2022,19:50,,,40.738194,-73.8492,"(40.738194, -73.8492)",LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,4592670,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
12/24/2022,13:57,,,,,,BROOKLYN BRIDGE,,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Pavement Slippery,Pavement Slippery,Pavement Slippery,4593007,Sedan,Sedan,Sedan,Sedan,Sedan
12/24/2022,8:45,MANHATTAN,10065,40.762486,-73.96298,"(40.762486, -73.96298)",EAST 62 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4593094,Sedan,Sedan,,,
12/24/2022,0:01,,,40.660202,-73.96063,"(40.660202, -73.96063)",FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4592466,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,8:15,,,40.729515,-73.8715,"(40.729515, -73.8715)",ELIOT AVENUE,WOODHAVEN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592763,Sedan,Sedan,,,
12/24/2022,13:20,QUEENS,11373,40.7338,-73.871414,"(40.7338, -73.871414)",,,90-15     QUEENS BOULEVARD,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inattention/Distraction,,,,4592537,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,11:30,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4593013,Sedan,Sedan,,,
12/24/2022,13:08,BRONX,10472,40.82678,-73.878746,"(40.82678, -73.878746)",,,1120      ELDER AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4592840,Sedan,,,,
12/24/2022,17:30,,,,,,BROOKLYN BRIDGE,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,Unspecified,,,4592872,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
12/24/2022,3:40,QUEENS,11368,40.75373,-73.86671,"(40.75373, -73.86671)",,,35-41     101 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4592577,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
12/24/2022,13:38,BROOKLYN,11238,40.68432,-73.967064,"(40.68432, -73.967064)",CLINTON AVENUE,GATES AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592645,Sedan,Sedan,,,
